algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed,ratio
DST_WOA,DST_WOA,752,1585,6106,300,23228,92588,0.7491251566077678,0.2508748433922322,0.911260092272203,0.8402267295504581,0.0007205187702613987,45437.27481166066,1.898951850638716,5.788994431706522,1.227249134948097,1534,13446,24,0,0,39384600,6106,42,0.3
TRAIL,TRAIL,543,946,9683,918,20120,89305,0.7747046637926208,0.22529533620737918,0.9336416853364169,0.878856199750496,0.0007223571184959434,28579.98554167097,1.7246721057523495,3.9937584454532216,1.1589506395895064,2558,8853,30,0,0,39084000,9683,42,0.3
SHEER,SHEER,1351,1363,10750,304,21183,87805,0.7587495017368031,0.2412504982631969,0.891087028308967,0.8280814313803799,0.0007501401831593558,24789.581395348836,1.7044651162790698,2.500267663344409,1.0,3336,13423,20,0,0,38797000,10750,43,0.3
ACTAR,ACTAR,869,973,7349,300,21968,87548,0.7490747932562708,0.2509252067437292,0.8967978042086002,0.8183584518231106,0.0007620878836817292,35694.65233365084,1.8979452986800924,3.1170359314035316,1.6335925587069229,2371,17501,17,0,0,37571800,7349,43,0.3
TFSM_DPC,TFSM_DPC,672,1159,6570,300,20723,83661,0.7522979644039636,0.24770203559603643,0.9067336108551273,0.8343123663324512,0.0007908732138682021,38318.41704718417,2.094063926940639,4.014117236038403,1.7596523562871398,1966,14779,26,0,0,36228200,6570,43,0.3
DST_WOA,DST_WOA,694,1490,7631,300,20969,90311,0.7678134446523679,0.2321865553476321,0.9116120100372069,0.8545840605878664,0.0007207230401341472,36347.52981260647,1.7443323286594155,4.555554099506401,1.2454068241469816,1975,12954,23,0,0,38796400,7631,43,0.3
TRAIL,TRAIL,452,988,11319,962,19276,88529,0.7822634390990523,0.21773656090094773,0.9423562878142463,0.8883042641420563,0.0007215670287616161,24473.18667726831,1.6319462850075095,3.4548387918782835,1.1990527486173883,2977,8114,30,0,0,39120400,11319,43,0.3
SHEER,SHEER,1265,1278,9158,300,21421,89132,0.7596710496791276,0.24032895032087243,0.9061747721935874,0.8363620858891783,0.0007380782557038079,29574.579602533304,1.7539855863725704,3.216562412254704,1.0,2763,12722,24,0,0,38881200,9158,44,0.3
ACTAR,ACTAR,812,970,6609,300,21234,87060,0.7560992419021365,0.2439007580978635,0.8975632728709021,0.8288905389667428,0.0007592565641793292,39840.21788470268,1.954909971251324,3.500612320380819,1.6475101023911525,2105,16515,17,0,0,37414000,6609,44,0.3
TFSM_DPC,TFSM_DPC,631,1132,7062,300,20038,82406,0.7568380943135209,0.2431619056864791,0.9093926372498717,0.8364121834919991,0.0007989408801616068,35325.969980175585,1.98654772019258,3.5667960219946218,1.7660498973832734,2140,14665,20,0,0,35757600,7062,44,0.3
DST_WOA,DST_WOA,680,1436,6933,300,22028,91643,0.75963248693299,0.24036751306700999,0.9145442792501616,0.8537776810600446,0.0007179870333498615,40164.43098225876,1.7591230347612865,5.323162171258232,1.2310852546146664,1651,12020,27,0,0,38878600,6933,44,0.3
